Unit 5,Understanding ideas,opposite,prep.,在……的对面,A girl opposite me started playing loud music on her phone.,The bank is opposite the school.
Unit 5,Understanding ideas,packet,n.,"小包，小盒，小袋",The man next to me took out several packets of food.,I bought a packet of biscuits.
Unit 5,Understanding ideas,picnic,n.,野餐,It was like he was on a picnic.,Let's have a picnic in the park on Sunday.
Unit 5,Understanding ideas,smelly,adj.,有臭味的,But the food was so smelly!,Take off your smelly socks please!
Unit 5,Understanding ideas,cheese,n.,"干酪，奶酪",It was like sitting next to a mountain of blue cheese.,I'd like extra cheese on my pizza.
Unit 5,Understanding ideas,noise,n.,噪声；嘈杂声,I covered my ears in order to block the noise.,Don't make so much noise—Dad is sleeping.
Unit 5,Understanding ideas,reduce,v.,减少；缩小；降低,I covered my nose so as to reduce the smell.,We should reduce the time we spend on phones.
Unit 5,Understanding ideas,kick,v.,踢,Then a boy behind me started to kick my seat.,Don't kick the ball indoors!
Unit 5,Understanding ideas,seat,n.,"座，座位",Then a boy behind me started to kick my seat.,Is this seat taken?
Unit 5,Understanding ideas,passenger,n.,"乘客，旅客",I turned around so as to see the other passengers' faces.,The bus was full of passengers.
Unit 5,Understanding ideas,anything,pron.,任何事物都（没有）,"They also seemed unhappy, but no one did anything.",I didn't say anything at the meeting.
Unit 5,Understanding ideas,fool,n.,"蠢人，傻子，笨蛋",Will they think me a fool if I do something?,I felt like a fool when I forgot my lines.
Unit 5,Understanding ideas,sign,n.,标记；指示牌，标牌,I looked at the signs on the wall.,"The sign says ""No parking""."
Unit 5,Understanding ideas,throat,n.,"喉咙，咽喉","I took a deep breath, stood up and cleared my throat.","My throat hurts, so I can't sing today."
Unit 5,Understanding ideas,clear your throat,短语,（尤指说话前或为引人注意而）清清嗓子,I stood up and cleared my throat…,He cleared his throat before the speech.
Unit 5,Understanding ideas,responsibility,n.,责任,Not my responsibility!,Feeding the dog is my responsibility.
Unit 5,Understanding ideas,cause,n.,"原因，起因",You can also consider causes and effects within the story.,What was the cause of the fire?
Unit 5,Understanding ideas（Grammar）,belt,n.,"腰带，皮带",People wear seat belts in cars.,This belt is too tight for me.
Unit 5,Understanding ideas（Grammar）,seat belt,短语,安全带,People wear seat belts in cars to stay safe on the road.,Put on your seat belt before we start.
Unit 5,Understanding ideas（Grammar）,station,n.,车站,Sally arrived at the train station before 6:00 am.,I'll meet you at the bus station.
Unit 5,Understanding ideas（Grammar）,flowerpot,n.,花盆,I found my favourite flowerpot broken.,There's a green flowerpot on the balcony.
Unit 5,Understanding ideas（Grammar）,pick up,短语,捡起,I picked up the pieces to clean up the mess.,Please pick up the paper on the floor.
Unit 5,Understanding ideas（Grammar）,mess,n.,脏乱；凌乱,I picked up the pieces to clean up the mess.,What a mess your desk is!
Unit 5,Understanding ideas（Grammar）,honesty,n.,"诚实，正直；坦诚",His honesty made me respect him.,Honesty is the best policy.
Unit 5,Understanding ideas（Grammar）,spread,v.,传播,I'm sharing my story to spread some happiness.,Good news spreads fast.
Unit 5,Developing ideas（听说）,law,n.,"法则，法令",Should traffic laws be changed?,Everyone must obey the law.
Unit 5,Developing ideas（听说）,lawyer,n.,律师,Zhang Xinyan is a lawyer.,My aunt works as a lawyer.
Unit 5,Developing ideas（听说）,urgent,adj.,"紧急的，急迫的","In some urgent situations, it might be okay to break certain rules.",I have an urgent message for you.
Unit 5,Reading for writing,citizen,n.,公民；市民，城镇居民,"There are so many netizens, that is, citizens on the internet!",Every citizen should follow the rules.
Unit 5,Reading for writing,click,n.,点击（鼠标）,We can get in touch with anyone with just one click.,You can order food with one click.
Unit 5,Reading for writing,basic,adj.,"基础的，基本的，根本的",Here are the basic rules you need to know to stay safe online.,I only know some basic English words.
Unit 5,Reading for writing,personal,adj.,"个人的，私人的",Avoid posting personal information online.,Don't share your personal information with strangers.
Unit 5,Reading for writing,private,adj.,"个人的，秘密的",Keep personal information private.,This is my private diary—please don't read it.
Unit 5,Reading for writing,avoid,v.,避免,Avoid posting personal information online.,Avoid drinking cola late at night.
Unit 5,Reading for writing,address,n.,地址,"This includes your full name, phone number, address, ID or passport number.",What's your home address?
Unit 5,Reading for writing,passport,n.,护照,Never post your ID or passport number online.,You need a passport to travel abroad.
Unit 5,Reading for writing,limit,v.,"限制，限定","However, limit who sees it.",You should limit your screen time to one hour.
Unit 5,Reading for writing,careless,adj.,"不小心的，粗心的，疏忽的",Change it often and don't be careless.,A careless mistake cost me five points.
Unit 5,Reading for writing,aware,adj.,"注意到的，察觉到的",Be aware of strangers.,Be aware of the wet floor!
Unit 5,Reading for writing,cheat,v.,"欺诈，欺骗",Never meet online strangers in real life. They may cheat you.,It's wrong to cheat in exams.
Unit 5,Reading for writing,trust,v.,"信任，信赖，相信",Only spend time online with trusted friends.,I trust my best friend completely.
Unit 5,Reading for writing,enemy,n.,敌人,Words sometimes hurt people and you can make enemies.,Don't make enemies over small things.
Unit 5,Reading for writing,behave,v.,表现,Remember that behaving badly online has costs.,The kids behaved well at the party.
Unit 5,Reading for writing,cyberbullying,n.,网络霸凌（欺凌）,People sometimes say bad things to other people online. This is cyberbullying.,We should say no to cyberbullying.
